wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|BIH0KAO1Z YUW1 WIH1L NOW1 DHAE1T AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01527150_01531320.wav|WAY1 AE1M AY1 DUW1IH0NG AO1L DHAE1T ? YUW1 NOW1 WAY1 AY1M AO1LWEY2Z DHEH1R FAO1R EH1VRIY0BAA2DIY0 EH1LS , AH0ND NOW1BAA2DIY2Z DHEH1R FAO1R MIY1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01528170_01531320.wav|DHAE1T ? YUW1 NOW1 WAY1 AY1M AO1LWEY2Z DHEH1R FAO1R EH1VRIY0BAA2DIY0 EH1LS , AH0ND NOW1BAA2DIY2Z DHEH1R FAO1R MIY1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01525770_01531320.wav|WAY1 AA1R DHEH1R NAA1T DHEH1R FAO1R MIY1 ? WAY1 AE1M AY1 DUW1IH0NG AO1L DHAE1T ? YUW1 NOW1 WAY1 AY1M AO1LWEY2Z DHEH1R FAO1R EH1VRIY0BAA2DIY0 EH1LS , AH0ND NOW1BAA2DIY2Z DHEH1R FAO1R MIY1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01526430_01531320.wav|NAA1T DHEH1R FAO1R MIY1 ? WAY1 AE1M AY1 DUW1IH0NG AO1L DHAE1T ? YUW1 NOW1 WAY1 AY1M AO1LWEY2Z DHEH1R FAO1R EH1VRIY0BAA2DIY0 EH1LS , AH0ND NOW1BAA2DIY2Z DHEH1R FAO1R MIY1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01526640_01531320.wav|DHEH1R FAO1R MIY1 ? WAY1 AE1M AY1 DUW1IH0NG AO1L DHAE1T ? YUW1 NOW1 WAY1 AY1M AO1LWEY2Z DHEH1R FAO1R EH1VRIY0BAA2DIY0 EH1LS , AH0ND NOW1BAA2DIY2Z DHEH1R FAO1R MIY1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01527990_01531320.wav|AO1L DHAE1T ? YUW1 NOW1 WAY1 AY1M AO1LWEY2Z DHEH1R FAO1R EH1VRIY0BAA2DIY0 EH1LS , AH0ND NOW1BAA2DIY2Z DHEH1R FAO1R MIY1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01526280_01531320.wav|DHEH1R NAA1T DHEH1R FAO1R MIY1 ? WAY1 AE1M AY1 DUW1IH0NG AO1L DHAE1T ? YUW1 NOW1 WAY1 AY1M AO1LWEY2Z DHEH1R FAO1R EH1VRIY0BAA2DIY0 EH1LS , AH0ND NOW1BAA2DIY2Z DHEH1R FAO1R MIY1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01552320_01560000.wav|BAH1T AE1T DHAH0 SEY1M TAY1M , AY1 WAA1Z AE1KCHAH0WAH0LIY0 JHAH1ST SAH1KIH0NG SAH1MBAA2DIY0 FRAH1M DHAE1T SAH1MTHIH0NG FRAH1M DHEH1M LAY1K AA1N AH0 SPIH1RIH0CHAH0WAH0L KAY1ND AH1V IH0MOW1SHAH0NAH0L SEH1NTAH0NS .
wavs/9-7-18 clem interviewed by tara_1.wav-01578840_01585800.wav|SOW1 , AY1 DIH1D AH0 LAA1T AH1V , YUW1 NOW1 , SOW1L SER1CHIH0NG AH0ND KAY1ND AH1V SEH1LF DIH0SKAH1VER0IY0 WER1KIH0NG THRUW1 THRUW1 MAY1 PAE1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-01578030_01585800.wav|WAY1 . SOW1 , AY1 DIH1D AH0 LAA1T AH1V , YUW1 NOW1 , SOW1L SER1CHIH0NG AH0ND KAY1ND AH1V SEH1LF DIH0SKAH1VER0IY0 WER1KIH0NG THRUW1 THRUW1 MAY1 PAE1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-01577910_01585800.wav|AH0ND WAY1 . SOW1 , AY1 DIH1D AH0 LAA1T AH1V , YUW1 NOW1 , SOW1L SER1CHIH0NG AH0ND KAY1ND AH1V SEH1LF DIH0SKAH1VER0IY0 WER1KIH0NG THRUW1 THRUW1 MAY1 PAE1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01602630.wav|YAE1 , AY1 WAA1Z SAH1FER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01602150_01603470.wav|SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01603470.wav|YAE1 , AY1 WAA1Z SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01601850_01603470.wav|WAA1Z SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01601850_01605180.wav|WAA1Z SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01602690_01605180.wav|AY1 WAA1Z SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01605180.wav|YAE1 , AY1 WAA1Z SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01602690_01605180.wav|AY1 WAA1Z SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01605180.wav|YAE1 , AY1 WAA1Z SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01603470.wav|YAE1 , AY1 WAA1Z SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01601850_01605180.wav|AY1 WAA1Z SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01601850_01603470.wav|AY1 WAA1Z SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01602150_01605180.wav|SAH1FER0IH0NG . AY1 WAA1Z SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01603050_01605180.wav|SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01602690_01605180.wav|WAA1Z SAH1FER0IH0NG . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01603470_01605180.wav|AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 MAH1CH .
wavs/9-7-18 clem interviewed by tara_1.wav-01604490_01612020.wav|SOW1 MAH1CH . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 HHAA1RD AH0ND AY1 WAA1Z KAA1NSTAH0NTLIY0 SAH1FER0IH0NG AH0ND AH0ND , AH0ND EH1VRIY0BAA2DIY0 ER0AW1ND MIY1 , YUW1 NOW1 , AY1 WAA1ZAH0NT TRUW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01605270_01612020.wav|AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 HHAA1RD AH0ND AY1 WAA1Z KAA1NSTAH0NTLIY0 SAH1FER0IH0NG AH0ND AH0ND , AH0ND EH1VRIY0BAA2DIY0 ER0AW1ND MIY1 , YUW1 NOW1 , AY1 WAA1ZAH0NT TRUW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01604670_01612020.wav|MAH1CH . AY1 HHAE1D DRIH1VAH0N MAY2SEH1LF SOW1 HHAA1RD AH0ND AY1 WAA1Z KAA1NSTAH0NTLIY0 SAH1FER0IH0NG AH0ND AH0ND , AH0ND EH1VRIY0BAA2DIY0 ER0AW1ND MIY1 , YUW1 NOW1 , AY1 WAA1ZAH0NT TRUW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-01612020_01619970.wav|LAY1K , LAY1K AY1 WAA1Z WEH1N YUW1 GIH1V SOW1 MAH1CH AH0ND YAO1R IH0NVAY1RAH0NMAH0NT IH1ZAH0NT BLUW1MIH0NG BIH0KAO1Z YUW1 NOW1 , DHEH1RZ NAA1T AO1L PIY1S AH0ND LAH1V ER0AW1ND AE1Z PIY1PAH0L RIY0AE1KT TUW1 MAY1 NUH0ROW1SIY0Z .
wavs/9-7-18 clem interviewed by tara_1.wav-01643280_01647150.wav|JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01642170_01647150.wav|TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01642350_01647150.wav|KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01643100_01647150.wav|DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01640640_01647150.wav|GUH1D PIY1PAH0L AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01640100_01647150.wav|SAH1M VEH1RIY0 GUH1D PIY1PAH0L AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01639650_01647150.wav|DHAH0 HHEH1LP AH1V SAH1M VEH1RIY0 GUH1D PIY1PAH0L AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01642680_01647150.wav|BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01640010_01647150.wav|AH1V SAH1M VEH1RIY0 GUH1D PIY1PAH0L AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01639440_01647150.wav|WIH1DH DHAH0 HHEH1LP AH1V SAH1M VEH1RIY0 GUH1D PIY1PAH0L AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01640940_01647150.wav|PIY1PAH0L AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01641750_01647150.wav|MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01644900_01647150.wav|HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01639710_01647150.wav|HHEH1LP AH1V SAH1M VEH1RIY0 GUH1D PIY1PAH0L AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01641540_01647150.wav|AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01640280_01647150.wav|VEH1RIY0 GUH1D PIY1PAH0L AY1 MAE1NAH0JHD TUW1 KAO1L BIH0GIH1N DHIH1S JHER1NIY0 . HHAW2EH1VER0 , DHEH1N , WIY1 MEY1D AH0NAH1DHER0 PLAE1N .
wavs/9-7-18 clem interviewed by tara_1.wav-01728270_01731690.wav|AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01725330_01731690.wav|MAH1CH EH1NER0JHIY0 BAH1T NAA1T RIH1LIY0 GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01728480_01731690.wav|SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01724490_01731690.wav|TEY1KIH0NG SOW1 MAH1CH EH1NER0JHIY0 BAH1T NAA1T RIH1LIY0 GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01726410_01731690.wav|RIH1LIY0 GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01727280_01731690.wav|GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01727970_01731690.wav|BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01726050_01731690.wav|BAH1T NAA1T RIH1LIY0 GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01730160_01731690.wav|LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01728270_01731690.wav|DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01729740_01731690.wav|PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01728780_01731690.wav|TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01730430_01731690.wav|IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01726200_01731690.wav|NAA1T RIH1LIY0 GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01729680_01731690.wav|AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01723980_01731690.wav|JHAH1ST TEY1KIH0NG SOW1 MAH1CH EH1NER0JHIY0 BAH1T NAA1T RIH1LIY0 GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01729290_01731690.wav|AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01725060_01731690.wav|SOW1 MAH1CH EH1NER0JHIY0 BAH1T NAA1T RIH1LIY0 GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01725600_01731690.wav|EH1NER0JHIY0 BAH1T NAA1T RIH1LIY0 GIH1VIH0NG BAE1K AE1T DHAH0 SEY1M TAY1M TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01729290_01731690.wav|TUW1 AA1N AH0 PER1SIH0NIH0L LEH1VAH0L . IH1T WAA1Z JHAH1ST RIH1LIY0 DREY1NIH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-01873410_01878390.wav|GUH1D AE1T IH1T . SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01872330_01878390.wav|YUW1 NOW1 , AY1 WAA1Z VEH1RIY0 GUH1D AE1T IH1T . SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01872960_01878390.wav|VEH1RIY0 GUH1D AE1T IH1T . SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01873770_01878390.wav|AE1T IH1T . SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01872720_01878390.wav|WAA1Z VEH1RIY0 GUH1D AE1T IH1T . SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01872720_01878390.wav|AY1 WAA1Z VEH1RIY0 GUH1D AE1T IH1T . SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01873770_01878390.wav|IH1T . SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01874130_01878390.wav|SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01872570_01878390.wav|NOW1 , AY1 WAA1Z VEH1RIY0 GUH1D AE1T IH1T . SOW1 SOW1 SOW1 IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M .
wavs/9-7-18 clem interviewed by tara_1.wav-01875420_01882290.wav|WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01876920_01882290.wav|WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01875750_01882290.wav|AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01876710_01882290.wav|AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01875090_01882290.wav|IH1T WAA1Z AH0ND AY1 WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01876170_01882290.wav|WAA1ZAH0NT AH0WEH1R DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01876710_01882290.wav|DHAE1T AY1 WAA1Z DUW1IH0NG IH1T AE1T DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01877580_01885530.wav|DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 . AH0ND , AH0ND SOW1 WAH1T AY1 DIH1D IH1Z JHAH1ST , IH1T JHAH1ST HHER1T PIY1PAH0L .
wavs/9-7-18 clem interviewed by tara_1.wav-01877580_01882290.wav|DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01877370_01882290.wav|IH1T AE1T DHAH0 SEY1M TAY1M . SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-01881390_01885530.wav|AH1DHER0 PIY1PAH0L RIH1LIY0 . AH0ND , AH0ND SOW1 WAH1T AY1 DIH1D IH1Z JHAH1ST , IH1T JHAH1ST HHER1T PIY1PAH0L .
wavs/9-7-18 clem interviewed by tara_1.wav-01878810_01885530.wav|AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 . AH0ND , AH0ND SOW1 WAH1T AY1 DIH1D IH1Z JHAH1ST , IH1T JHAH1ST HHER1T PIY1PAH0L .
wavs/9-7-18 clem interviewed by tara_1.wav-01880640_01885530.wav|VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 . AH0ND , AH0ND SOW1 WAH1T AY1 DIH1D IH1Z JHAH1ST , IH1T JHAH1ST HHER1T PIY1PAH0L .
wavs/9-7-18 clem interviewed by tara_1.wav-01878390_01885530.wav|SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 . AH0ND , AH0ND SOW1 WAH1T AY1 DIH1D IH1Z JHAH1ST , IH1T JHAH1ST HHER1T PIY1PAH0L .
wavs/9-7-18 clem interviewed by tara_1.wav-01878390_01882290.wav|SOW1 AY1 FEH1LT AY1 WAA1Z DHAH0 VIH1KTAH0M WAY1L AY1 WAA1Z VIH1KTAH0MAY0ZIH0NG AH1DHER0 PIY1PAH0L RIH1LIY0 .
