wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|Because you will know that I will be very very upset if you do.
wavs/9-7-18 clem interviewed by tara_1.wav-01469370_01475520.wav|be loved.  And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01469580_01475520.wav|loved.  And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01468230_01475520.wav|couldn't, you know, I needed to be loved.  And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01468950_01475520.wav|I needed to be loved.  And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01470360_01475520.wav|And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01468650_01475520.wav|you know, I needed to be loved.  And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01469070_01475520.wav|needed to be loved.  And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01469370_01475520.wav|to be loved.  And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01468770_01475520.wav|know, I needed to be loved.  And at the same time, all the love that was granted to me, I couldn't let close to me.
wavs/9-7-18 clem interviewed by tara_1.wav-01483020_01488930.wav|get close to you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01481970_01488930.wav|that love, get close to you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01485420_01488930.wav|Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01483290_01488930.wav|close to you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01481430_01488930.wav|can't let that love, get close to you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01482150_01488930.wav|love, get close to you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01483830_01488930.wav|you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01483710_01488930.wav|to you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01481730_01488930.wav|let that love, get close to you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01481220_01488930.wav|you can't let that love, get close to you.  Then in the end there, it's like a loss of like that.
wavs/9-7-18 clem interviewed by tara_1.wav-01502010_01505670.wav|me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01497780_01505670.wav|you know, it blooms that It just and so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01501380_01505670.wav|they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01497930_01505670.wav|know, it blooms that It just and so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01498110_01505670.wav|it blooms that It just and so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01502400_01507470.wav|trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01503450_01505670.wav|very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01500810_01505670.wav|so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01500000_01505670.wav|It just and so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01500810_01505670.wav|and so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01504620_01507470.wav|never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01505280_01507470.wav|for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01504320_01507470.wav|it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01505040_01507470.wav|enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01502010_01507470.wav|and trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01503930_01507470.wav|hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01503930_01505670.wav|hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01501380_01507470.wav|they were loving me and trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01504320_01507470.wav|And it was never good enough for me. So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01504320_01505670.wav|And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01500150_01505670.wav|just and so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01501530_01507470.wav|were loving me and trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01501680_01505670.wav|loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01499760_01505670.wav|that It just and so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01499220_01505670.wav|blooms that It just and so they were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01504500_01507470.wav|was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01504860_01507470.wav|good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01504320_01507470.wav|And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01500810_01507470.wav|so they were loving me and trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01502010_01507470.wav|me and trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01500810_01507470.wav|and so they were loving me and trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01502010_01505670.wav|and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01502400_01505670.wav|trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01503450_01507470.wav|very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01500150_01507470.wav|just and so they were loving me and trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01501530_01505670.wav|were loving me and trying very hard.  And it was never good enough for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01501680_01507470.wav|loving me and trying very hard. And it was never good enough for me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01505370_01507470.wav|me.  So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01505370_01507470.wav|So I was always, you know, on Yeah.
wavs/9-7-18 clem interviewed by tara_1.wav-01516380_01523370.wav|and of course I'd leave practice. Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01520040_01522080.wav|leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01521060_01522080.wav|Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01515120_01522080.wav|you know, and, and, and of course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01515540_01523370.wav|and, and, and of course I'd leave practice. Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01515540_01522080.wav|and, and, and of course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01516380_01522080.wav|of course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01514460_01522080.wav|feel, you know, and, and, and of course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01521060_01527150.wav|Yeah, absolutely. I would feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01521060_01523370.wav|Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01520040_01523370.wav|leave practice. Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01520040_01527150.wav|leave practice. Yeah, absolutely. I would feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01521390_01523370.wav|absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01522260_01527150.wav|would feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01523010_01527150.wav|down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01522110_01527150.wav|I would feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01519650_01527150.wav|I'd leave practice. Yeah, absolutely. I would feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01519650_01522080.wav|I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01520400_01522080.wav|practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01519260_01522080.wav|course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01515300_01522080.wav|know, and, and, and of course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01514130_01522080.wav|always feel, you know, and, and, and of course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01516380_01522080.wav|and of course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01516050_01522080.wav|and, and of course I'd leave practice.  Yeah, absolutely.
wavs/9-7-18 clem interviewed by tara_1.wav-01520400_01527150.wav|practice. Yeah, absolutely. I would feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01520400_01523370.wav|practice. Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01521060_01523370.wav|Yeah, absolutely. I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01519260_01523370.wav|course I'd leave practice. Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01522110_01523370.wav|I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01519650_01523370.wav|I'd leave practice. Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01516380_01523370.wav|of course I'd leave practice. Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01516050_01523370.wav|and, and of course I'd leave practice. Yeah, absolutely.  I would feel that down.
wavs/9-7-18 clem interviewed by tara_1.wav-01521390_01527150.wav|absolutely. I would feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01523490_01528290.wav|I would feel like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01523910_01528290.wav|feel like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01524750_01528290.wav|why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01526820_01531320.wav|for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01526100_01531320.wav|are they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01526280_01528290.wav|they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01527150_01531320.wav|Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01524150_01531320.wav|like, why, you know, why are they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01523670_01531320.wav|would feel like, why, you know, why are they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01523490_01531320.wav|I would feel like, why, you know, why are they're not there for me? Why am I doing all that? You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01525770_01528290.wav|why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01522110_01528290.wav|I would feel that down. I would feel like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01522770_01527150.wav|that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01522440_01527150.wav|feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01519260_01527150.wav|course I'd leave practice. Yeah, absolutely. I would feel that down.  I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01525560_01528290.wav|know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01526430_01528290.wav|not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01522440_01528290.wav|feel that down. I would feel like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01526820_01528290.wav|for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01525350_01528290.wav|you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01522260_01528290.wav|would feel that down. I would feel like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01523490_01527150.wav|I would feel like, why, you know, why are they're not there for me?
wavs/9-7-18 clem interviewed by tara_1.wav-01527540_01531320.wav|I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01527150_01531320.wav|am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01527660_01531320.wav|doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01523910_01531320.wav|feel like, why, you know, why are they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01525350_01531320.wav|you know, why are they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01525560_01531320.wav|know, why are they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01526970_01531320.wav|me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01526970_01528290.wav|me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01524750_01531320.wav|why, you know, why are they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01527150_01528290.wav|Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01526640_01528290.wav|there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01526100_01528290.wav|are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01523010_01528290.wav|down. I would feel like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01522770_01528290.wav|that down. I would feel like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01524150_01528290.wav|like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01523670_01528290.wav|would feel like, why, you know, why are they're not there for me?  Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01523490_01528290.wav|I would feel like, why, you know, why are they're not there for me? Why am I doing all that?
wavs/9-7-18 clem interviewed by tara_1.wav-01528290_01531320.wav|You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01527150_01531320.wav|Why am I doing all that? You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01528170_01531320.wav|that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01525770_01531320.wav|why are they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01526430_01531320.wav|not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01526640_01531320.wav|there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01527990_01531320.wav|all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01526280_01531320.wav|they're not there for me? Why am I doing all that?  You know why I'm always there for everybody else, and nobody's there for me.
wavs/9-7-18 clem interviewed by tara_1.wav-01552320_01560000.wav|But at the same time, I was actually just sucking somebody from that something from them like on a spiritual kind of emotional sentence.
wavs/9-7-18 clem interviewed by tara_1.wav-01578840_01585800.wav|So, I did a lot of, you know, soul searching and kind of self discovery working through through my past.
wavs/9-7-18 clem interviewed by tara_1.wav-01578030_01585800.wav|why.  So, I did a lot of, you know, soul searching and kind of self discovery working through through my past.
wavs/9-7-18 clem interviewed by tara_1.wav-01577910_01585800.wav|and why.  So, I did a lot of, you know, soul searching and kind of self discovery working through through my past.
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01602630.wav|Yeah, I was suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-01602150_01603470.wav|suffering.  I was suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01603470.wav|Yeah, I was suffering.  I was suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-01601850_01603470.wav|was suffering.  I was suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-01601850_01605180.wav|was suffering. I was suffering.  I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01602690_01605180.wav|I was suffering. I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01605180.wav|Yeah, I was suffering. I was suffering. I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01602690_01605180.wav|I was suffering.  I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01605180.wav|Yeah, I was suffering. I was suffering.  I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01601610_01603470.wav|Yeah, I was suffering. I was suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-01601850_01605180.wav|I was suffering. I was suffering.  I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01601850_01603470.wav|I was suffering.  I was suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-01602150_01605180.wav|suffering. I was suffering.  I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01603050_01605180.wav|suffering.  I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01602690_01605180.wav|was suffering.  I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01603470_01605180.wav|I had driven myself so much.
wavs/9-7-18 clem interviewed by tara_1.wav-01604490_01612020.wav|so much.  I had driven myself so hard and I was constantly suffering and and, and everybody around me, you know, I wasn't true.
wavs/9-7-18 clem interviewed by tara_1.wav-01605270_01612020.wav|I had driven myself so hard and I was constantly suffering and and, and everybody around me, you know, I wasn't true.
wavs/9-7-18 clem interviewed by tara_1.wav-01604670_01612020.wav|much.  I had driven myself so hard and I was constantly suffering and and, and everybody around me, you know, I wasn't true.
wavs/9-7-18 clem interviewed by tara_1.wav-01612020_01619970.wav|Like, like I was when you give so much and your environment isn't blooming because you know, there's not all peace and love around as people react to my neuroses.
wavs/9-7-18 clem interviewed by tara_1.wav-01643280_01647150.wav|journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01642170_01647150.wav|to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01642350_01647150.wav|call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01643100_01647150.wav|this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01640640_01647150.wav|good people I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01640100_01647150.wav|some very good people I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01639650_01647150.wav|the help of some very good people I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01642680_01647150.wav|begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01640010_01647150.wav|of some very good people I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01639440_01647150.wav|with the help of some very good people I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01640940_01647150.wav|people I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01641750_01647150.wav|managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01644900_01647150.wav|However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01639710_01647150.wav|help of some very good people I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01641540_01647150.wav|I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01640280_01647150.wav|very good people I managed to call begin this journey.  However, then, we made another plan.
wavs/9-7-18 clem interviewed by tara_1.wav-01728270_01731690.wav|at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01725330_01731690.wav|much energy but not really giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01728480_01731690.wav|same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01724490_01731690.wav|taking so much energy but not really giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01726410_01731690.wav|really giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01727280_01731690.wav|giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01727970_01731690.wav|back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01726050_01731690.wav|but not really giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01730160_01731690.wav|level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01728270_01731690.wav|the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01729740_01731690.wav|personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01728780_01731690.wav|time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01730430_01731690.wav|It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01726200_01731690.wav|not really giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01729680_01731690.wav|a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01723980_01731690.wav|just taking so much energy but not really giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01729290_01731690.wav|on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01725060_01731690.wav|so much energy but not really giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01725600_01731690.wav|energy but not really giving back at the same time to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01729290_01731690.wav|to on a personal level.  It was just really draining.
wavs/9-7-18 clem interviewed by tara_1.wav-01873410_01878390.wav|good at it.  So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01872330_01878390.wav|You know, I was very good at it.  So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01872960_01878390.wav|very good at it.  So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01873770_01878390.wav|at it.  So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01872720_01878390.wav|was very good at it.  So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01872720_01878390.wav|I was very good at it.  So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01873770_01878390.wav|it.  So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01874130_01878390.wav|So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01872570_01878390.wav|know, I was very good at it.  So so so it was and I wasn't aware that I was doing it at the same time.
wavs/9-7-18 clem interviewed by tara_1.wav-01875420_01882290.wav|was and I wasn't aware that I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01876920_01882290.wav|was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01875750_01882290.wav|I wasn't aware that I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01876710_01882290.wav|I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01875090_01882290.wav|it was and I wasn't aware that I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01876170_01882290.wav|wasn't aware that I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01876710_01882290.wav|that I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01877580_01885530.wav|the same time. So I felt I was the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01877580_01882290.wav|the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01877370_01882290.wav|it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01881390_01885530.wav|other people really.  And, and so what I did is just, it just hurt people.
